"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"25","meso_zoo_N",3.4779449249,4.721024493,4.52998522,5.919803696,3.410897423,4.36242861,4.476706962,5.5602414,2.4844491803,2.4257392318,2.7750697161,5.151173746,5.8622777046,4.995626596,7.182511839,1.6351671315,1.213036187,1.3255093928,1.6526247393,1.9487364175,2.5638087417,3.6441771037,5.3935509184,3.4444846162,1.4990105794,1.7066747587
"26","planktonic_microflora_N",27.775840128,35.260606465,34.146181139,50.089653825,26.952482727,35.137347923,33.52483821,46.32072382,21.900129753,21.659321562,25.149732154,41.43589158,52.609470501,42.25508617,55.34116656,9.6080849238,8.985398121,8.448262073,11.788241185,16.070198344,21.650502544,32.769021697,46.980787083,23.872540257,8.4378661582,10.2281734481
"27","diatoms_N",7.79206217,10.831249649,7.870787757,9.253355926,9.213191474,9.249190664,8.414319245,10.758312728,4.6431259618,3.4216134193,7.24348879,11.781519,10.7408983416,11.12730687,13.344257869,1.10867282751,1.5124184166,1.065007794,1.5877687473,1.8337384792,2.8669348121,5.1622189711,11.4514581223,10.844805704,0.85745147753,1.35504021714
"28","other_phytoplankton_N",5.870822611,7.891826841,5.89184557,6.80189612,6.652504493,6.802993664,6.363543984,7.812866486,3.3516614917,2.6908576641,5.2837387432,8.85310656,8.8807063986,8.977670857,10.641924469,1.01721624542,1.3291521038,0.9646408291,1.4156292166,1.6438447642,2.5812085422,4.30072195324,9.0896753996,8.219377002,0.81361302166,1.20301327747
"29","labile_detritus_N",4e-06,5.93193474,3.955193368,5.932339548,5.928905448,5.927907144,5.92926684,9.884190182,3.949299528,3.94914392,5.925542943,5.92695654,3.950328508,5.925679422,19.754993056,1.185709698,0,0,2.46573165,2.467398325,2.4679126,1.18422873,2.467729685,3e-06,6e-06,6e-06
"30","refractory_detritus_N",4e-06,2.96596737,1.977596684,2.966169774,2.964452724,2.963953572,2.96463342,4.942095092,1.974649764,1.97457196,2.962771473,2.96347827,1.975164252,2.962839711,9.877496528,0.592854852,0,0,1.232865825,1.23369916,1.2339563,0.592114368,1.23386484,3e-06,6e-06,6e-06
"31","carrion_N",4e-06,0.471470172,0.314358768,0.471502347,0.471229404,0.47115006,0.471258129,0.785595436,0.313890328,0.31387796,0.470962152,0.471074505,0.313972108,0.470973,1.570126848,0.094240206,0,0,0.19597635,0.19610882,0.196149695,0.094122498,0.196135155,3e-06,6e-06,6e-06
"32","baleen_whales1_Nums",0,0,0,0,181.39,67.69,67.69,0,181.39,152.59,67.69,67.69,220.28,5.52,5.52,329.08,0,0,329.08,329.08,296.79,144.2,5.52,0,0,0
"33","baleen_whales2_Nums",0,0,0,0,127.44,47.55,47.55,0,127.44,107.21,47.55,47.55,154.76,3.88,3.88,231.2,0,0,231.2,231.2,208.51,101.31,3.88,0,0,0
"34","baleen_whales3_Nums",0,0,0,0,89.53,33.41,33.41,0,89.53,75.32,33.41,33.41,108.73,2.73,2.73,162.43,0,0,162.43,162.43,146.49,71.18,2.73,0,0,0
"35","baleen_whales4_Nums",0,0,0,0,62.9,23.47,23.47,0,62.9,52.92,23.47,23.47,76.39,1.92,1.92,114.12,0,0,114.12,114.12,102.92,50.01,1.92,0,0,0
"36","baleen_whales5_Nums",0,0,0,0,44.19,16.49,16.49,0,44.19,37.18,16.49,16.49,53.67,1.35,1.35,80.18,0,0,80.18,80.18,72.31,35.13,1.35,0,0,0
